combined_cell_line,combined_drug,drug_smiles,ln_ic50
HH:cutaneous T cell lymphoma,Camptothecin:TOP1,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,-1.172988087789048
ZR-75-30:breast_cancer,Camptothecin:TOP1,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,-0.9703453689210718
AsPC-1:pancreatic_cancer,Camptothecin:TOP1,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,-0.9258844573502385
BT-474:breast_cancer,Camptothecin:TOP1,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,-0.6953490584429896
BT-483:breast_cancer,Camptothecin:TOP1,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,-1.2418602483654928
EN:Endometrial Cancer,Camptothecin:TOP1,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,-1.446878488713872
FU-OV-1:ovarian_cancer,Camptothecin:TOP1,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,-1.0007486963403889
OVKATE:Ovarian Cancer,Camptothecin:TOP1,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,-1.0126332437432914
EFM-192A:breast_cancer,Camptothecin:TOP1,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,-1.488311110485491
HCC1428:breast_cancer,Camptothecin:TOP1,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,-1.4838172557928846
Calu-3:lung_cancer,Vinblastine:Microtubule destabiliser,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,-1.2476922985234298
NCI-H1650:lung_cancer,Vinblastine:Microtubule destabiliser,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,-1.4160187541773372
NCI-H2347:lung_cancer,Vinblastine:Microtubule destabiliser,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,-1.4631491166779445
HCC1143:breast_cancer,Vinblastine:Microtubule destabiliser,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,-1.575610606360768
HCC1937:ductal_carcinoma,Vinblastine:Microtubule destabiliser,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,-1.5823571036945263
RCM-1:rectum; adenocarcinoma; well differentiated,Vinblastine:Microtubule destabiliser,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,-1.4184783721390877
