cell_line_name,drug_name,putative_target,ln_ic50,cell_line_encoded,drug_encoded
A673,Camptothecin,TOP1,-4.869455,27,40
ES5,Camptothecin,TOP1,-3.360586,199,40
ES7,Camptothecin,TOP1,-5.04494,201,40
EW-11,Camptothecin,TOP1,-3.741991,209,40
SK-ES-1,Camptothecin,TOP1,-5.142961,805,40
C-33-A,Camptothecin,TOP1,-3.380879,70,40
ME-180,Camptothecin,TOP1,-3.22391,478,40
42-MG-BA,Camptothecin,TOP1,-3.40022,2,40
8-MG-BA,Camptothecin,TOP1,-4.256286,10,40
GB-1,Camptothecin,TOP1,-3.0555,233,40
U-118-MG,Camptothecin,TOP1,-3.354018,929,40
NCI-H1623,Camptothecin,TOP1,-4.135944,558,40
NCI-H2170,Camptothecin,TOP1,-3.956193,598,40
NCI-H2228,Camptothecin,TOP1,-2.713363,603,40
COR-L311,Camptothecin,TOP1,-4.507048,125,40
NCI-H1048,Camptothecin,TOP1,-4.366197,543,40
NCI-H1694,Camptothecin,TOP1,-3.842493,565,40
NCI-H1963,Camptothecin,TOP1,-3.298397,580,40
NCI-H209,Camptothecin,TOP1,-5.422095,592,40
NCI-H2171,Camptothecin,TOP1,-4.038664,599,40
NCI-H2227,Camptothecin,TOP1,-3.735166,602,40
NCI-H526,Camptothecin,TOP1,-4.845675,642,40
SK-N-DZ,Camptothecin,TOP1,-3.703295,823,40
VA-ES-BJ,Camptothecin,TOP1,-3.40744,944,40
SBC-5,Camptothecin,TOP1,-3.46312,785,40
SK-N-SH,Camptothecin,TOP1,-4.350184,825,40
NCI-H1734,Camptothecin,TOP1,-4.054426,567,40
NCI-H929,Camptothecin,TOP1,-3.516343,662,40
UM-UC-3,Camptothecin,TOP1,-3.731846,941,40
HCC1599,Camptothecin,TOP1,-3.247021,264,40
BB30-HNC,Camptothecin,TOP1,-4.016599,44,40
Ca9-22,Camptothecin,TOP1,-3.523805,139,40
CADO-ES1,Camptothecin,TOP1,-5.04439,76,40
CAL-33,Camptothecin,TOP1,-3.711201,83,40
CTV-1,Camptothecin,TOP1,-4.324457,136,40
DMS-79,Camptothecin,TOP1,-3.955395,166,40
EBC-1,Camptothecin,TOP1,-4.232911,181,40
HCE-4,Camptothecin,TOP1,-3.535898,274,40
HSC-2,Camptothecin,TOP1,-4.33613,293,40
IM-9,Camptothecin,TOP1,-5.302441,330,40
IST-SL2,Camptothecin,TOP1,-4.325806,337,40
J82,Camptothecin,TOP1,-3.044853,338,40
LB2241-RCC,Camptothecin,TOP1,-3.440497,427,40
LB996-RCC,Camptothecin,TOP1,-4.159031,433,40
LU-134-A,Camptothecin,TOP1,-4.677125,454,40
NCI-H292,Camptothecin,TOP1,-3.758359,627,40
SBC-3,Camptothecin,TOP1,-4.755313,784,40
TE-15,Camptothecin,TOP1,-3.789603,908,40
KELLY,Camptothecin,TOP1,-4.104361,376,40
SIMA,Camptothecin,TOP1,-4.359837,800,40
CAPAN-1,Camptothecin,TOP1,-3.147629,92,40
HL-60,Camptothecin,TOP1,-4.472633,283,40
NCI-H460,Camptothecin,TOP1,-4.579412,635,40
786-0,Camptothecin,TOP1,-3.436538,9,40
A549,Camptothecin,TOP1,-3.210065,26,40
ACHN,Camptothecin,TOP1,-3.734601,30,40
CCRF-CEM,Camptothecin,TOP1,-4.654926,96,40
MOLT-4,Camptothecin,TOP1,-4.980218,512,40
SW620,Camptothecin,TOP1,-3.182662,882,40
CAKI-1,Camptothecin,TOP1,-3.24826,77,40
RPMI-8226,Camptothecin,TOP1,-3.963567,771,40
SR,Camptothecin,TOP1,-5.263178,853,40
UACC-62,Camptothecin,TOP1,-3.455492,938,40
U251,Camptothecin,TOP1,-3.494947,936,40
SF539,Camptothecin,TOP1,-3.522655,796,40
SF295,Camptothecin,TOP1,-4.145417,795,40
SF268,Camptothecin,TOP1,-3.040841,794,40
BONNA-12,Camptothecin,TOP1,-5.138902,61,40
BHT-101,Camptothecin,TOP1,-3.490158,54,40
ARH-77,Camptothecin,TOP1,-4.572209,37,40
AGS,Camptothecin,TOP1,-3.262674,31,40
A375,Camptothecin,TOP1,-4.323503,20,40
647-V,Camptothecin,TOP1,-4.578058,6,40
639-V,Camptothecin,TOP1,-5.143633,5,40
697,Camptothecin,TOP1,-5.013617,7,40
A2780,Camptothecin,TOP1,-3.397924,18,40
CRO-AP2,Camptothecin,TOP1,-4.046559,133,40
CHP-212,Camptothecin,TOP1,-3.89964,103,40
CFPAC-1,Camptothecin,TOP1,-3.521542,98,40
Ca-Ski,Camptothecin,TOP1,-3.175817,138,40
Caov-3,Camptothecin,TOP1,-3.812728,143,40
CAL-62,Camptothecin,TOP1,-4.144276,87,40
Daudi,Camptothecin,TOP1,-3.881415,175,40
DB,Camptothecin,TOP1,-4.620835,157,40
Daoy,Camptothecin,TOP1,-4.41371,174,40
D-283MED,Camptothecin,TOP1,-4.528375,149,40
DEL,Camptothecin,TOP1,-5.275985,159,40
DJM-1,Camptothecin,TOP1,-3.662816,161,40
DOHH-2,Camptothecin,TOP1,-5.626466,168,40
DU-4475,Camptothecin,TOP1,-4.328225,173,40
EB2,Camptothecin,TOP1,-4.307262,180,40
EM-2,Camptothecin,TOP1,-4.284381,191,40
EoL-1-cell,Camptothecin,TOP1,-4.087071,218,40
FADU,Camptothecin,TOP1,-4.026296,219,40
FTC-133,Camptothecin,TOP1,-3.799876,221,40
GDM-1,Camptothecin,TOP1,-4.351133,236,40
GI-1,Camptothecin,TOP1,-3.816898,237,40
GOTO,Camptothecin,TOP1,-4.251315,239,40
GR-ST,Camptothecin,TOP1,-4.084364,241,40
ESS-1,Camptothecin,TOP1,-4.87451,205,40
H4,Camptothecin,TOP1,-4.712836,245,40
H9,Camptothecin,TOP1,-4.563237,246,40
HC-1,Camptothecin,TOP1,-4.960264,250,40
HEL,Camptothecin,TOP1,-3.978342,280,40
HLE,Camptothecin,TOP1,-3.366623,284,40
HSC-3,Camptothecin,TOP1,-3.953424,294,40
HT-3,Camptothecin,TOP1,-3.434127,304,40
HuO9,Camptothecin,TOP1,-4.371273,321,40
HuTu-80,Camptothecin,TOP1,-4.216073,324,40
IMR-5,Camptothecin,TOP1,-4.75997,332,40
JEG-3,Camptothecin,TOP1,-3.867733,340,40
JiyoyeP-2003,Camptothecin,TOP1,-3.57828,360,40
JVM-2,Camptothecin,TOP1,-4.856694,358,40
JVM-3,Camptothecin,TOP1,-5.559196,359,40
KE-37,Camptothecin,TOP1,-4.885864,375,40
HuP-T4,Camptothecin,TOP1,-3.944705,323,40
DMS-53,Camptothecin,TOP1,-3.194719,165,40
G-402,Camptothecin,TOP1,-3.026632,228,40
G-401,Camptothecin,TOP1,-3.58581,227,40
KY821,Camptothecin,TOP1,-4.647966,406,40
KU-19-19,Camptothecin,TOP1,-3.41716,403,40
L-428,Camptothecin,TOP1,-3.451263,422,40
L-540,Camptothecin,TOP1,-4.831087,423,40
LAMA-84,Camptothecin,TOP1,-4.053065,424,40
LC-2-ad,Camptothecin,TOP1,-3.990571,435,40
LC4-1,Camptothecin,TOP1,-4.642257,436,40
LNCaP-Clone-FGC,Camptothecin,TOP1,-3.58924,443,40
LoVo,Camptothecin,TOP1,-3.043928,461,40
LS-513,Camptothecin,TOP1,-3.160381,453,40
MC116,Camptothecin,TOP1,-4.350844,465,40
MC-IXC,Camptothecin,TOP1,-5.647541,464,40
MEG-01,Camptothecin,TOP1,-3.404588,479,40
MG-63,Camptothecin,TOP1,-3.38936,488,40
MHH-CALL-2,Camptothecin,TOP1,-4.896038,489,40
MHH-CALL-4,Camptothecin,TOP1,-4.358639,490,40
MHH-ES-1,Camptothecin,TOP1,-4.277902,491,40
MHH-NB-11,Camptothecin,TOP1,-5.260783,492,40
ML-2,Camptothecin,TOP1,-4.326641,500,40
MN-60,Camptothecin,TOP1,-3.318057,504,40
MOG-G-UVW,Camptothecin,TOP1,-3.883794,506,40
MOLT-13,Camptothecin,TOP1,-4.617958,510,40
MOLT-16,Camptothecin,TOP1,-5.356238,511,40
MONO-MAC-6,Camptothecin,TOP1,-3.878637,513,40
Mo-T,Camptothecin,TOP1,-3.427483,525,40
MV-4-11,Camptothecin,TOP1,-4.984287,519,40
NALM-6,Camptothecin,TOP1,-4.839854,526,40
NAMALWA,Camptothecin,TOP1,-4.954537,527,40
NB69,Camptothecin,TOP1,-4.840968,538,40
NCI-H508,Camptothecin,TOP1,-3.230379,636,40
SNU-1,Camptothecin,TOP1,-3.323193,837,40
SNU-5,Camptothecin,TOP1,-4.784797,847,40
SNU-16,Camptothecin,TOP1,-3.584755,839,40
NH-12,Camptothecin,TOP1,-4.46017,665,40
NKM-1,Camptothecin,TOP1,-4.864822,667,40
NOMO-1,Camptothecin,TOP1,-3.639361,669,40
NTERA-2-cl-D1,Camptothecin,TOP1,-3.665191,671,40
NUGC-3,Camptothecin,TOP1,-4.149705,673,40
NCI-H1155,Camptothecin,TOP1,-4.39682,546,40
NCI-H1105,Camptothecin,TOP1,-4.793972,545,40
NCI-H2081,Camptothecin,TOP1,-4.028081,589,40
NCI-H2196,Camptothecin,TOP1,-3.077442,601,40
NCI-H748,Camptothecin,TOP1,-4.332428,655,40
P12-ICHIKAWA,Camptothecin,TOP1,-4.97213,713,40
P30-OHK,Camptothecin,TOP1,-4.100622,714,40
P31-FUJ,Camptothecin,TOP1,-3.404091,715,40
PA-1,Camptothecin,TOP1,-3.318359,717,40
OC-314,Camptothecin,TOP1,-3.767197,680,40
PF-382,Camptothecin,TOP1,-4.512799,734,40
Raji,Camptothecin,TOP1,-4.486053,779,40
REH,Camptothecin,TOP1,-4.088645,753,40
RF-48,Camptothecin,TOP1,-3.797131,758,40
RKO,Camptothecin,TOP1,-3.546082,763,40
RPMI-6666,Camptothecin,TOP1,-4.807294,769,40
RPMI-8402,Camptothecin,TOP1,-5.173786,772,40
RS4-11,Camptothecin,TOP1,-4.646672,774,40
SAS,Camptothecin,TOP1,-4.690358,781,40
SF126,Camptothecin,TOP1,-3.48591,793,40
SK-CO-1,Camptothecin,TOP1,-5.232523,804,40
SK-LMS-1,Camptothecin,TOP1,-3.766387,809,40
SKM-1,Camptothecin,TOP1,-4.361569,830,40
SK-MEL-24,Camptothecin,TOP1,-2.959517,813,40
SK-PN-DW,Camptothecin,TOP1,-4.621831,827,40
SK-UT-1,Camptothecin,TOP1,-3.264142,828,40
SU-DHL-1,Camptothecin,TOP1,-4.215631,856,40
SUP-T1,Camptothecin,TOP1,-4.657179,869,40
SW13,Camptothecin,TOP1,-4.146297,873,40
SW1783,Camptothecin,TOP1,-3.57825,879,40
SW48,Camptothecin,TOP1,-3.645354,881,40
SW872,Camptothecin,TOP1,-3.938333,888,40
SW982,Camptothecin,TOP1,-4.069436,892,40
TALL-1,Camptothecin,TOP1,-4.37193,900,40
TYK-nu,Camptothecin,TOP1,-3.681748,928,40
WSU-NHL,Camptothecin,TOP1,-4.700814,958,40
SUP-B8,Camptothecin,TOP1,-4.73348,866,40
RPMI-8866,Camptothecin,TOP1,-4.387572,773,40
QIMR-WIL,Camptothecin,TOP1,-4.684593,741,40
OAW-42,Camptothecin,TOP1,-3.245322,679,40
CHP-126,Camptothecin,TOP1,-4.269041,101,40
