cosmic_id,cell_line_name,drug_id,drug_name,putative_target,ln_ic50
684052,A673,1003,Camptothecin,TOP1,-4.869455
684057,ES5,1003,Camptothecin,TOP1,-3.360586
684059,ES7,1003,Camptothecin,TOP1,-5.04494
684062,EW-11,1003,Camptothecin,TOP1,-3.741991
684072,SK-ES-1,1003,Camptothecin,TOP1,-5.142961
687505,C-33-A,1003,Camptothecin,TOP1,-3.380879
687514,ME-180,1003,Camptothecin,TOP1,-3.22391
687561,42-MG-BA,1003,Camptothecin,TOP1,-3.40022
687562,8-MG-BA,1003,Camptothecin,TOP1,-4.256286
687568,GB-1,1003,Camptothecin,TOP1,-3.0555
687588,U-118-MG,1003,Camptothecin,TOP1,-3.354018
687798,NCI-H1623,1003,Camptothecin,TOP1,-4.135944
687815,NCI-H2170,1003,Camptothecin,TOP1,-3.956193
687816,NCI-H2228,1003,Camptothecin,TOP1,-2.713363
687980,COR-L311,1003,Camptothecin,TOP1,-4.507048
687995,NCI-H1048,1003,Camptothecin,TOP1,-4.366197
688006,NCI-H1694,1003,Camptothecin,TOP1,-3.842493
688010,NCI-H1963,1003,Camptothecin,TOP1,-3.298397
688013,NCI-H209,1003,Camptothecin,TOP1,-5.422095
688015,NCI-H2171,1003,Camptothecin,TOP1,-4.038664
688018,NCI-H2227,1003,Camptothecin,TOP1,-3.735166
688025,NCI-H526,1003,Camptothecin,TOP1,-4.845675
688086,SK-N-DZ,1003,Camptothecin,TOP1,-3.703295
688121,VA-ES-BJ,1003,Camptothecin,TOP1,-3.40744
713880,SBC-5,1003,Camptothecin,TOP1,-3.46312
717431,SK-N-SH,1003,Camptothecin,TOP1,-4.350184
722058,NCI-H1734,1003,Camptothecin,TOP1,-4.054426
724825,NCI-H929,1003,Camptothecin,TOP1,-3.516343
724838,UM-UC-3,1003,Camptothecin,TOP1,-3.731846
749713,HCC1599,1003,Camptothecin,TOP1,-3.247021
753531,BB30-HNC,1003,Camptothecin,TOP1,-4.016599
753538,Ca9-22,1003,Camptothecin,TOP1,-3.523805
753539,CADO-ES1,1003,Camptothecin,TOP1,-5.04439
753541,CAL-33,1003,Camptothecin,TOP1,-3.711201
753548,CTV-1,1003,Camptothecin,TOP1,-4.324457
753551,DMS-79,1003,Camptothecin,TOP1,-3.955395
753554,EBC-1,1003,Camptothecin,TOP1,-4.232911
753559,HCE-4,1003,Camptothecin,TOP1,-3.535898
753562,HSC-2,1003,Camptothecin,TOP1,-4.33613
753563,IM-9,1003,Camptothecin,TOP1,-5.302441
