cell_line_name,drug_name,putative_target,ln_ic50,disease,smiles
HH,Camptothecin,TOP1,-1.1721553544949355,cutaneous T cell lymphoma,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O
ZR-75-30,Camptothecin,TOP1,-0.9695264145544389,breast_cancer,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O
AsPC-1,Camptothecin,TOP1,-0.9250685261550258,pancreatic_cancer,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O
BT-474,Camptothecin,TOP1,-0.6945488027704936,breast_cancer,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O
BT-483,Camptothecin,TOP1,-1.2410228320286771,breast_cancer,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O
EN,Camptothecin,TOP1,-1.4460271319232292,Endometrial Cancer,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O
FU-OV-1,Camptothecin,TOP1,-0.9999276746641285,ovarian_cancer,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O
OVKATE,Camptothecin,TOP1,-1.0118114139634005,Ovarian Cancer,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O
EFM-192A,Camptothecin,TOP1,-1.487456936435517,breast_cancer,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O
HCC1428,Camptothecin,TOP1,-1.4829633873077899,breast_cancer,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O
Calu-3,Vinblastine,Microtubule destabiliser,-1.2468544856295771,lung_cancer,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
NCI-H1650,Vinblastine,Microtubule destabiliser,-1.415169495730255,lung_cancer,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
NCI-H2347,Vinblastine,Microtubule destabiliser,-1.4622966535470197,lung_cancer,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
HCC1143,Vinblastine,Microtubule destabiliser,-1.5747504962799839,breast_cancer,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
HCC1937,Vinblastine,Microtubule destabiliser,-1.5814965348778052,ductal_carcinoma,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
RCM-1,Vinblastine,Microtubule destabiliser,-1.41762894644742,rectum; adenocarcinoma; well differentiated,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
